Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Subperiods,Hours_per_period,Sub_Weights
,,,,115,1465.779802,10441.28084,3842.569307,8575.681648789257,3500.2656350227962,6473.18336618795,0.0,,,
,,,,116,1598.106874,11365.24715,4200.496086,9006.466657508246,3676.0956184404936,6798.352894051263,0.0,,,
,,,,117,1616.1320730000002,11685.550848,4400.028475,9424.529288972102,3846.732813491541,7113.919187536362,0.0,,,
,,,,118,1575.5806269999994,11483.163239,4336.2600010000015,9364.731966073055,3822.3258307020797,7068.782363224872,0.0,,,
,,,,119,1517.194621,11094.732541,4200.4953030000015,9122.773852378255,3723.5677721400048,6886.145075481743,0.0,,,
,,,,120,1393.7965330000006,10414.450984,3950.5696799999996,8680.03990431496,3542.860688163453,6551.956127521592,0.0,,,
,,,,121,1275.160705,9466.085703,3585.4371340000002,8054.264376245645,3287.443023907165,6079.601869847197,0.0,,,
,,,,122,1177.923352,8634.902488,3250.13761,7408.46353585325,3023.8517921811736,5592.131901965584,0.0,,,
,,,,123,1134.0683960000001,8101.286661999998,3042.373431,6950.469725400965,2836.9162153450625,5246.424349253978,0.0,,,
,,,,124,1100.811815,7841.150892000002,2943.641566,6691.365172744918,2731.159635438909,5050.844411816178,0.0,,,
,,,,125,1088.8909420000002,7712.164351999999,2905.584137000001,6550.365861383296,2673.609103092521,4944.413875524188,0.0,,,
,,,,126,1092.244948,7730.866231999998,2915.870695,6488.738527077734,2648.4551795582597,4897.89570336401,0.0,,,
,,,,127,1139.5012849999996,7981.972694999998,3008.43402,6573.060235842044,2682.872079760681,4961.54427439728,0.0,,,
,,,,128,1263.103954,8719.768115,3289.220359,6950.387510579344,2836.882658395704,5246.362291024958,0.0,,,
,,,,129,1450.456119,10041.949424,3826.108409,7829.754163563412,3195.8065319818597,5910.134784454735,0.0,,,
,,,,130,1510.172939,10739.244052,4098.672136,8476.985933901537,3459.98181464634,6398.6848614521305,0.0,,,
,,,,131,1499.620929,10771.253615000001,4091.470615000001,8685.186428245952,3544.961302621084,6555.84087913297,0.0,,,
,,,,132,1467.948377,10689.365801000002,4033.880014,8759.323462180591,3575.2212076398946,6611.801750179524,0.0,,,
,,,,133,1457.1709769999998,10615.713481,3991.706352,8790.205476789672,3587.8260662276325,6635.112426982704,0.0,,,
,,,,134,1435.6215539999994,10496.879251999999,3913.5363479999996,8764.918064517735,3577.504710585121,6616.024724897152,0.0,,,
,,,,135,1408.551161,10289.998724,3839.4789950000004,8652.510736160692,3531.6243334108544,6531.176280428462,0.0,,,
,,,,136,1375.604235,10157.226508,3816.8599810000014,8591.879563661336,3506.877005069836,6485.410041268836,0.0,,,
,,,,137,1361.397205,10014.907156000001,3767.490269,8500.153856116509,3469.438075417798,6416.1727084656995,0.0,,,
,,,,138,1360.191409,9963.920277,3742.8016740000003,8483.061716940445,3462.461717171633,6403.271045887926,0.0,,,
,,,,139,1416.8604289999994,10248.240783,3843.5979330000014,8629.122202864455,3522.0780276239598,6513.521909511591,0.0,,,
,,,,140,1538.1635800000001,11066.168666,4159.356790000002,9040.465396568849,3689.9726048821167,6824.016168549044,0.0,,,
,,,,141,1537.493595,11167.570955,4248.839174000002,9255.942145346018,3777.9219819439,6986.664522710089,0.0,,,
,,,,142,1483.047843,10858.727048000002,4132.616158999998,9032.654419858149,3686.784462589046,6818.120207552811,0.0,,,
,,,,143,1413.2853759999994,10469.906101,3973.1915369999997,8765.726953322794,3577.8348680936265,6616.6352985835865,0.0,,,
